summary,city,state,date_time,shape,city_latitude,city_longitude
"Father and son witness acrobatic orange orb over Bothell, WA.",Bothell,WA,2015-01-15T06:30:00,light,47.81147361769352,-122.19987187993681
Two strange objects with green lights on side and red flashing one in middle .both objects had same lights and they were going clock wi,Renton,WA,2014-09-28T02:38:00,unknown,47.477841722972975,-122.15758902027028
"	Bright green orb, very large shooting downward at extremely fast speed. No fire, early evening Edmonds, WA.",Edmonds,WA,2014-09-13T19:45:00,sphere,47.82623459119497,-122.3462679245283
Giant comet like light.,Chehalis,WA,2014-09-13T20:00:00,fireball,46.6271,-123.0092
Bluish white energy orb travelling very low in sky just above tree tops.,Port Townsend,WA,2014-09-13T20:15:00,sphere,48.117,-122.76049999999998
"Xenon blue light seen falling at 15 degree angle northwest of Vancouver, WA.",Vancouver,WA,2014-09-13T20:29:00,egg,45.65808015267176,-122.58490839694656
9 people see UFO in night sky.,Lakebay,WA,,disk,47.2833,-122.7747
"Strange light in woods of Goldendale, Washington.",Goldendale,WA,2010-10-01T20:00:00,light,45.8436,-120.76849999999999
It was a bright red orb that flew silently in a straight line until making a sharp right turn and faded away.,Tacoma,WA,2014-10-06T20:00:00,light,47.21257223776224,-122.4597204895105
"Cream colored, it looked like a shooting star, but very large, as though a small moon fell from the sky.",Seattle,WA,2014-11-30T01:50:00,other,47.60904638888889,-122.32602834595959
"Green light flashes across sky near Olympia, Washington.",Olympia,WA,2014-09-13T20:25:00,light,47.03031595092024,-122.89693098159509
"Orange light/flare rising quickly, changing directions fairly rapidly, blinking twice then disappearing.",Bellingham,WA,2014-08-31T12:30:00,light,48.74688634868421,-122.44462006578947
"((HOAX??))  Multiple (5+?) Unidentified aerial phenomenon in Bellevue, WA.",Bellevue,WA,2014-11-02T19:00:00,changing,47.604556307692306,-122.16441774358974
Square craft hovering 300ft above road and forest. Four lights circling around each corner (white and red). Search light looking for so,Lynnwood,WA,2014-12-17T06:00:00,other,47.82361835051547,-122.29480474226804
I just let my dog out and look up and saw a blue light. I assume it was a shooting star however: It seemed to low and slow. I was looki,Mead,WA,1999-10-14T20:20:00,light,47.8345,-117.2104
Bright flash of light followed by a small egg shaped craft.,Stanwood,WA,2014-09-28T20:30:00,egg,48.2124,-122.2846
"4 lights in chevron-shape, crossed north t south on clear night sky.  Lost sight of, then shape came back south to north, very fast.",Seattle,WA,1999-10-15T20:15:00,chevron,47.60904638888889,-122.32602834595959
A large formation of small pink UFO's.,Marysville,WA,2014-11-16T13:30:00,formation,48.06684121621622,-122.20199054054054
"Diamond shaped, blue and green in color--huge.",Renton,WA,2014-09-13T21:30:00,diamond,47.477841722972975,-122.15758902027028
Hovering light orb in woods of Goldendale Washington.,Goldendale,WA,2012-12-20T01:00:00,light,45.8436,-120.76849999999999
"Huge fireball sighting in Goldendale, Washington.",Goldendale,WA,2013-01-15T20:00:00,fireball,45.8436,-120.76849999999999
"Cigar-shaped craft seen in Goldendale, Washington.",Goldendale,WA,2013-08-01T15:00:00,cigar,45.8436,-120.76849999999999
Strange star lights in sky of Goldendale Washington.,Goldendale,WA,2014-06-09T21:00:00,light,45.8436,-120.76849999999999
"Strange light orb seen on night of Moon eclipse in Goldendale, Washington.",Goldendale,WA,2014-10-08T03:30:00,light,45.8436,-120.76849999999999
White/green fireball falling slowly in vicinity of 405/520 interchange.,Bellevue,WA,1998-09-23T22:50:00,fireball,47.604556307692306,-122.16441774358974
Triangular light formation traveling east,Westport,WA,2015-01-07T17:45:00,triangle,46.8789,-124.1101
Bright Green blazing ball passing from Northeast to Southwest burning out before the horizon.,Everett,WA,1998-09-23T21:11:00,fireball,47.92466490727532,-122.21939985734664
Strange lights over Seattle.,Seattle,WA,2014-12-14T22:50:00,light,47.60904638888889,-122.32602834595959
13 moving objects high angle NE Mabton WA observer for several min. Pictures taken.,Mabton,WA,2014-12-15T17:30:00,light,46.1516,-120.0982
"I was multiplaying with my friend online, talking to him on the phone. My dad yelled to me saying there was something weird outside and",Cheney,WA,2014-09-19T20:00:00,triangle,47.4313,-117.6292
Bright green ball of light about size of moon apeared at 60 degrees ended at 20 degrees,Monroe,WA,1998-09-25T21:25:00,fireball,47.8703,-121.88099999999999
"Seen object  then plane came into view, object viered left and up followed then exited up and to the left",Keller,WA,2014-11-17T17:35:00,circle,48.1044,-118.7116
